ticker,acquirer,acquirer_type,company,deal_type,cp,dp,sp_pct,sp_pct_at_detection,ann,days_to_close,score,risk,score_at_detection,risk_at_detection,filed,days_old,close_date,tx_value,tx_value_source,break_price,break_downside,break_price_method,financing_signal,financing_source,accession,reg_tags,fetched
GSAT,Amazon,Strategic,"Globalstar, Inc.",Private Equity,81.48,90.0,10.46,10.46,7.87,485.0,65,Low,65,Low,2026-04-14,141,2027,11.6,verified_hardcode,72.89,-10.54,historical,committed,filed_disclosure,0001140361-26-014528,"[{""agency"": ""HSR Filing"", ""level"": ""low"", ""reason"": ""Transaction value triggers mandatory Hart-Scott-Rodino antitrust filing with DOJ and FTC""}, {""agency"": ""FTC Antitrust"", ""level"": ""high"", ""reason"": ""Communication Services sector deal of $11.6B subject to FTC antitrust review""}, {""agency"": ""Market Concentration"", ""level"": ""high"", ""reason"": ""Highly concentrated industry \u2014 enhanced regulatory scrutiny expected""}]",2026-09-02T17:24
SLAB,Texas Instruments,Strategic,SILICON LABORATORIES INC.,All Cash,220.1,231.0,4.95,4.95,6.0,301.0,71,Low,71,Low,2026-02-04,210,first half of 2027,7.5,regex_enterprise,136.62,-37.93,historical,committed,press_release,0001193125-26-036712,"[{""agency"": ""HSR Filing"", ""level"": ""low"", ""reason"": ""Transaction value triggers mandatory Hart-Scott-Rodino antitrust filing with DOJ and FTC""}, {""agency"": ""FTC Antitrust"", ""level"": ""high"", ""reason"": ""Technology sector deal of $7.5B subject to FTC antitrust review""}, {""agency"": ""Market Concentration"", ""level"": ""high"", ""reason"": ""Highly concentrated industry \u2014 enhanced regulatory scrutiny expected""}]",2026-09-02T17:26
CZR,Fertitta Entertainment,Strategic,"Caesars Entertainment, Inc.",All Cash,29.72,31.0,4.32,2.92,3.25,485.0,73,Low,67,Low,2026-05-28,97,mid-to-late 2027,17.6,regex_enterprise,28.78,-3.16,historical,committed,filed_disclosure,0001193125-26-242995,"[{""agency"": ""HSR Filing"", ""level"": ""low"", ""reason"": ""Transaction value triggers mandatory Hart-Scott-Rodino antitrust filing with DOJ and FTC""}, {""agency"": ""FTC Antitrust"", ""level"": ""high"", ""reason"": ""Consumer Cyclical sector deal of $17.6B subject to FTC antitrust review""}]",2026-09-02T17:21
NATH,Smithfield Foods,Strategic,"NATHANS FAMOUS, INC.",All Cash,98.02,102.0,4.06,4.06,12.35,120.0,84,Very Low,84,Very Low,2026-01-21,224,H2 2026,0.45,regex_enterprise,91.82,-6.33,historical,committed,press_release,0001104659-26-005233,"[{""agency"": ""HSR Filing"", ""level"": ""low"", ""reason"": ""Transaction value triggers mandatory Hart-Scott-Rodino antitrust filing with DOJ and FTC""}]",2026-09-02T17:23
PAYO,Nuvei,Strategic,Payoneer Global Inc.,All Cash,7.12,7.4,3.86,3.86,4.68,301.0,79,Very Low,79,Very Low,2026-06-15,79,mid-2027,3.0,regex_enterprise,6.75,-5.2,historical,committed,press_release,0000950103-26-008945,"[{""agency"": ""HSR Filing"", ""level"": ""low"", ""reason"": ""Transaction value triggers mandatory Hart-Scott-Rodino antitrust filing with DOJ and FTC""}, {""agency"": ""FTC Antitrust"", ""level"": ""medium"", ""reason"": ""Technology sector deal of $3.0B subject to FTC antitrust review""}, {""agency"": ""Market Concentration"", ""level"": ""high"", ""reason"": ""Highly concentrated industry \u2014 enhanced regulatory scrutiny expected""}]",2026-09-02T17:22
RAMP,Publicis Groupe,Strategic,"LiveRamp Holdings, Inc.",All Cash,37.81,38.5,1.81,1.81,,,74,Low,74,Low,2026-05-18,107,TBD,2.55,regex_enterprise,29.66,-21.56,historical,committed,press_release,0001104659-26-062908,"[{""agency"": ""HSR Filing"", ""level"": ""low"", ""reason"": ""Transaction value triggers mandatory Hart-Scott-Rodino antitrust filing with DOJ and FTC""}, {""agency"": ""FTC Antitrust"", ""level"": ""medium"", ""reason"": ""Technology sector deal of $2.5B subject to FTC antitrust review""}, {""agency"": ""Market Concentration"", ""level"": ""high"", ""reason"": ""Highly concentrated industry \u2014 enhanced regulatory scrutiny expected""}]",2026-09-02T17:26
OGN,Sun Pharma,Strategic,Organon & Co.,All Cash,13.77,14.0,1.71,3.24,2.97,210.0,74,Low,62,Low,2026-04-27,128,early 2027,3.68,equity_calc_approx,11.23,-18.45,historical,committed,filed_disclosure,0001193125-26-178718,"[{""agency"": ""HSR Filing"", ""level"": ""low"", ""reason"": ""Transaction value triggers mandatory Hart-Scott-Rodino antitrust filing with DOJ and FTC""}, {""agency"": ""FTC Antitrust"", ""level"": ""medium"", ""reason"": ""Healthcare sector deal of $3.7B subject to FTC antitrust review""}, {""agency"": ""Market Concentration"", ""level"": ""high"", ""reason"": ""Highly concentrated industry \u2014 enhanced regulatory scrutiny expected""}]",2026-09-02T17:21
HZO,Safe Harbor,Strategic,MARINEMAX INC,All Cash,52.15,53.0,1.62,1.69,,,88,Very Low,75,Very Low,2026-08-10,23,TBD,1.5,regex_enterprise,35.68,-31.58,historical,committed,filed_disclosure,0001193125-26-341302,"[{""agency"": ""HSR Filing"", ""level"": ""low"", ""reason"": ""Transaction value triggers mandatory Hart-Scott-Rodino antitrust filing with DOJ and FTC""}, {""agency"": ""FTC Antitrust"", ""level"": ""medium"", ""reason"": ""Consumer Cyclical sector deal of $1.5B subject to FTC antitrust review""}]",2026-09-02T17:20
AES,GIP / EQT Consortium,Strategic,AES CORP,All Cash,14.78,15.0,1.49,2.18,2.59,210.0,75,Very Low,63,Low,2026-03-02,184,late 2026 or early 2027,10.7,regex_enterprise,13.75,-6.97,verified_unaffected,committed,filed_disclosure,0001193125-26-084157,"[{""agency"": ""HSR Filing"", ""level"": ""low"", ""reason"": ""Transaction value triggers mandatory Hart-Scott-Rodino antitrust filing with DOJ and FTC""}, {""agency"": ""DOJ Antitrust"", ""level"": ""high"", ""reason"": ""Utilities sector deal of $10.7B subject to DOJ antitrust review""}]",2026-09-02T17:21
ATKR,Prysmian S.p.A,Strategic,Atkore Inc.,All Cash,93.67,95.0,1.43,1.46,,,88,Very Low,80,Very Low,2026-08-03,30,TBD,3.8,regex_enterprise,72.7,-22.39,historical,committed,filed_disclosure,0001666138-26-000016,"[{""agency"": ""HSR Filing"", ""level"": ""low"", ""reason"": ""Transaction value triggers mandatory Hart-Scott-Rodino antitrust filing with DOJ and FTC""}, {""agency"": ""DOJ Antitrust"", ""level"": ""medium"", ""reason"": ""Industrials sector deal of $3.8B subject to DOJ antitrust review""}]",2026-09-02T17:21
BOW,Undisclosed,Unknown,Bowhead Specialty Holdings Inc.,All Cash,33.65,34.0,1.04,1.16,,,88,Very Low,78,Very Low,2026-08-03,30,TBD,1.2,regex_enterprise,30.59,-9.09,historical,committed,press_release,0001628280-26-051540,"[{""agency"": ""HSR Filing"", ""level"": ""low"", ""reason"": ""Transaction value triggers mandatory Hart-Scott-Rodino antitrust filing with DOJ and FTC""}, {""agency"": ""DOJ Antitrust"", ""level"": ""medium"", ""reason"": ""Financial Services sector deal of $1.2B subject to DOJ antitrust review""}]",2026-09-02T17:21
CBZ,Undisclosed,Unknown,"CBIZ, Inc.",All Cash,54.46,55.0,1.0,1.0,3.04,120.0,88,Very Low,88,Very Low,2026-07-29,35,fourth quarter of 2026,2.98,equity_calc_approx,46.7,-14.25,historical,committed,filed_disclosure,0001193125-26-322225,"[{""agency"": ""HSR Filing"", ""level"": ""low"", ""reason"": ""Transaction value triggers mandatory Hart-Scott-Rodino antitrust filing with DOJ and FTC""}, {""agency"": ""DOJ Antitrust"", ""level"": ""medium"", ""reason"": ""Industrials sector deal of $3.0B subject to DOJ antitrust review""}]",2026-09-02T17:22
DSGR,Undisclosed,Unknown,"Distribution Solutions Group, Inc.",All Cash,34.67,35.0,0.95,0.95,,,88,Very Low,88,Very Low,2026-07-16,48,TBD,1.62,equity_calc_approx,27.48,-20.74,historical,committed,filed_disclosure,0001193125-26-306263,"[{""agency"": ""HSR Filing"", ""level"": ""low"", ""reason"": ""Transaction value triggers mandatory Hart-Scott-Rodino antitrust filing with DOJ and FTC""}, {""agency"": ""DOJ Antitrust"", ""level"": ""medium"", ""reason"": ""Industrials sector deal of $1.6B subject to DOJ antitrust review""}]",2026-09-02T17:23
BWMN,Bernhard Capital Partners,Private Equity,Bowman Consulting Group Ltd.,All Cash,42.6,43.0,0.93,0.94,,,88,Very Low,83,Very Low,2026-08-10,23,TBD,1.0,regex_enterprise,27.23,-36.08,historical,committed,filed_disclosure,0001193125-26-341431,"[{""agency"": ""HSR Filing"", ""level"": ""low"", ""reason"": ""Transaction value triggers mandatory Hart-Scott-Rodino antitrust filing with DOJ and FTC""}, {""agency"": ""DOJ Antitrust"", ""level"": ""medium"", ""reason"": ""Industrials sector deal of $1.0B subject to DOJ antitrust review""}]",2026-09-02T17:21
BZH,Dream Finders,Strategic,BEAZER HOMES USA INC,All Cash,33.24,33.5,0.8,0.8,2.43,120.0,88,Very Low,88,Very Low,2026-08-07,26,fourth quarter of 2026,2.2,regex_enterprise,33.46,0.66,historical,committed,filed_disclosure,0001104659-26-092299,"[{""agency"": ""HSR Filing"", ""level"": ""low"", ""reason"": ""Transaction value triggers mandatory Hart-Scott-Rodino antitrust filing with DOJ and FTC""}, {""agency"": ""FTC Antitrust"", ""level"": ""medium"", ""reason"": ""Consumer Cyclical sector deal of $2.2B subject to FTC antitrust review""}]",2026-09-02T17:22
