ticker,company,cik,announced_date,announcement_url,deal_price,acquirer,consideration_notes,price_at_announcement,spread_at_announcement_pct,outcome,outcome_date,outcome_url,days_to_resolution,verified_by_hand,notes,deal_type,acquirer_type
,"Nuo Therapeutics, Inc.",1091596,2022-01-04,https://www.sec.gov/Archives/edgar/data/1091596/000143774922000240/,,,,,,PENDING,,,,,no terminal filing after 1671 days,,
DWSN,DAWSON GEOPHYSICAL CO,799165,2021-10-25,https://www.sec.gov/Archives/edgar/data/799165/000110465922004648/,2.34,Wilks Brothers,"tender offer, all cash. Row's date is the offer expiration; real announcement 2021-10-25. Price at announcement needs re-pull for that date.",2.23,4.93,EXCLUDED,3/24/2023,https://www.sec.gov/Archives/edgar/data/799165/000110465923036243/,430,y,"[close audit 2026-09-21] WAS CLOSED, NOT PROVEN: DWSN: Wilks tender offer expired 2022-01-14 but Dawson stayed listed and kept filing; row outcome (2023-03-24) is a later, different Wilks-affiliate merger. No delisting, so not proven closed. | 8-K Item 2.01",Tender Offer,Strategic
,"Southwest Gas Holdings, Inc.",1692115,2021-10-12,https://www.sec.gov/Archives/edgar/data/1692115/000119312521296267/,,,not a merger - stockholder rights plan (poison pill) adopted Oct 2021,63.43,,CLOSED,1/13/2023,https://www.sec.gov/Archives/edgar/data/1692115/000087666123000048/,458,y,[close audit 2026-09-21] close CONFIRMED: 2.01 completion 8-K + Form 25/15; still files periodic reports (SPAC/acquirer/debt registrant). | Form 25-NSE,,
TGNA,TEGNA INC,39899,2022-02-22,https://www.sec.gov/Archives/edgar/data/39899/000119312522076150/,24,Standard General,all cash. Row points at the March 10 amendment; real announcement is Feb 22 2022.,20.95,14.56,BROKEN,2023-05-22,https://www.sec.gov/Archives/edgar/data/39899/000119312523150586/,454,y,"[label audit 2026-09-21] BREAK CONFIRMED, Item 1.02 acc 0001193125-23-150586: FCC Hearing Designation Order; Company terminated per merger agreement. Old outcome_date 5/9/2022. | termination language, add outcome date wrong - terminated May 2023, not 55 days in",All Cash,Strategic
,"TherapeuticsMD, Inc.",25743,2022-06-03,https://www.sec.gov/Archives/edgar/data/25743/000156459022022465/,,,"bylaw amendment only, no price. Merger Agreement dated 2022-05-27 with Athene Parent Inc, cash tender offer. Announcement 8-K not",9.93,,EXCLUDED,2022-07-13,https://www.sec.gov/Archives/edgar/data/25743/000119312522193376/,40,y,"[dedupe 2026-09-21] DUPLICATE row of the same deal (same CIK and announced date); counted once on another row. | [close audit 2026-09-21] WAS CLOSED, ACTUALLY BROKE (Item 1.02 acc 0001193125-22-193376): tender offer expired without majority; Company terminated the merger agreement. | 8-K Item 2.01 [never actually priced/verified despite prior y flag; also duplicate of the TXMD row -- corrected, needs real verification or removal]",,
,"Rubicon Technology, Inc.",1410172,2022-07-05,https://www.sec.gov/Archives/edgar/data/1410172/000121390022037059/,,,partial tender for 45% at $20.00 plus $11.00 special distribution. Not a full acquisition; shareholders retain equity.,15.05,,CLOSED,12/23/2022,https://www.sec.gov/Archives/edgar/data/1410172/000121390022082632/,171,y,[close audit 2026-09-21] close CONFIRMED: 2.01 completion 8-K + Form 25/15. | Form 25,,
STCN,"Steel Connect, Inc.",914712,2022-06-13,https://www.sec.gov/Archives/edgar/data/914712/000121390022032357/,1.35,Steel Partner Holdings,"$1.35 cash plus CVR on ModusLink sale proceeds. CVR makes total consideration variable - excluded, consistent with TBPH handling.",1.21,11.57,BROKEN,2022-11-15,https://www.sec.gov/Archives/edgar/data/914712/000121390022072833/,155,y,"[close audit 2026-09-21] WAS CLOSED, ACTUALLY BROKE (Item 1.02 acc 0001213900-22-072833): Steel Partners terminated after the majority-of-minority vote failed; the 2025-01-02 Form 25 cannot be this deal's close because the June 2022 agreement was terminated 2022-11-15, so it belongs to a later agreement. | Form 25-NSE",,Strategic
IRBT,IROBOT CORP,1159167,2022-08-05,https://www.sec.gov/Archives/edgar/data/1159167/000119312522213174/,61,Amazon,all cash,49.99,22.02,BROKEN,2024-01-28,https://www.sec.gov/Archives/edgar/data/1159167/000119312524017523/,541,y,"[label audit 2026-09-21] BREAK CONFIRMED, Item 1.02 acc 0001193125-24-017523: mutual termination, Amazon paid $94M fee; regulatory. Old outcome_date 9/20/2022. | termination language",All Cash,Strategic
,"Spirit Airlines, Inc.",1498710,2022-07-28,https://www.sec.gov/Archives/edgar/data/1498710/000119312522204192/,,,"row points at Frontier termination announcement. Real JetBlue deal: $33.50, announced 2022-07-28, terminated 2024-03-04. Outcome CLOSED is wrong - Form 25 came from Spirit's bankruptcy",25.66,,EXCLUDED,2024-03-04,https://www.sec.gov/Archives/edgar/data/1498710/000149871024000124/,585,y,"[dedupe 2026-09-21] DUPLICATE row of the same deal (same CIK and announced date); counted once on another row. | [close audit 2026-09-21] WAS CLOSED, ACTUALLY BROKE (Item 1.02 acc 0001498710-24-000124): Termination Agreement with JetBlue, $69M paid to Spirit; the 2024-12-05 Form 25 cannot be this merger's close because the merger agreement was terminated 2024-03-04 (cause of that Form 25 not read). | Form 25-NSE",,
,"Inland Real Estate Income Trust, Inc.",1528985,2022-05-10,https://www.sec.gov/Archives/edgar/data/1528985/000156459022019164/,,,"not a merger - property purchase agreement, INRE acquiring eight retail properties",14.5,,EXCLUDED,5/20/2022,https://www.sec.gov/Archives/edgar/data/1528985/000156459022020829/,10,y,"[close audit 2026-09-21] WAS CLOSED, NOT PROVEN: completion-type 8-K but no Form 25/15 in window and issuer kept filing: not a delisted take-out of this issuer (acquirer-side / reverse-merger survivor). | 8-K Item 2.01",,
