ticker,company,cik,announced_date,announcement_url,deal_price,acquirer,consideration_notes,price_at_announcement,spread_at_announcement_pct,outcome,outcome_date,outcome_url,days_to_resolution,verified_by_hand,notes
CHTH,"CNL Healthcare Properties, Inc.",0001496454,,,,,,,,,,,,,no announcement 8-K found in lookback
PQEFF,PETROTEQ ENERGY INC.,0001561180,,,,,,,,,,,,,no announcement 8-K found in lookback
CMRF,"CIM REAL ESTATE FINANCE TRUST, INC.",0001498547,,,,,,,,,,,,,no announcement 8-K found in lookback
SGIC,"Strategic Realty Trust, Inc.",0001446371,,,,,,,,,,,,,no announcement 8-K found in lookback
MVLA,Pathfinder Acquisition Corp,0001839132,,,,,,,,,,,,,SPAC shell
AEON,Priveterra Acquisition Corp.,0001837607,,,,,,,,,,,,,SPAC shell
BGC,"BGC Partners, Inc.",0001094831,,,,,,,,,,,,,no announcement 8-K found in lookback
INFIQ,"INFINITY PHARMACEUTICALS, INC.",0001113148,,,,,,,,,,,,,no announcement 8-K found in lookback
MAX,"MediaAlpha, Inc.",0001818383,,,,,,,,,,,,,no announcement 8-K found in lookback
SSYS,STRATASYS LTD.,0001517396,,,,,,,,,,,,,no announcement 8-K found in lookback
SVA,SINOVAC BIOTECH LTD,0001084201,,,,,,,,,,,,,no announcement 8-K found in lookback
LGIQ,"LOGIQ, INC.",0001335112,,,,,,,,,,,,,no announcement 8-K found in lookback
PSHG,Performance Shipping Inc.,0001481241,,,,,,,,,,,,,no announcement 8-K found in lookback
WH,"WYNDHAM HOTELS & RESORTS, INC.",0001722684,,,,,,,,,,,,,no announcement 8-K found in lookback
SQNS,SEQUANS COMMUNICATIONS,0001383395,,,,,,,,,,,,,no announcement 8-K found in lookback
EXTO,Almacenes Exito S.A.,0001957146,,,,,,,,,,,,,no announcement 8-K found in lookback
MANU,Manchester United plc,0001549107,,,,,,,,,,,,,no announcement 8-K found in lookback
VASO,VASO Corp,0000839087,,,,,,,,,,,,,no announcement 8-K found in lookback
NHHS,"NorthStar Healthcare Income, Inc.",0001503707,,,,,,,,,,,,,no announcement 8-K found in lookback
MPSYF,MorphoSys AG,0001340243,,,,,,,,,,,,,no announcement 8-K found in lookback
IOR,INCOME OPPORTUNITY REALTY INVESTORS INC /TX/,0000949961,,,,,,,,,,,,,no announcement 8-K found in lookback
ACCD,"Accolade, Inc.",0001481646,,,,,,,,,,,,,no announcement 8-K found in lookback
AMPY,Amplify Energy Corp.,0001533924,,,,,,,,,,,,,filer is the acquirer
GDYN,ChaSerg Technology Acquisition Corp,0001743725,,,,,,,,,,,,,SPAC shell
IVT,InvenTrust Properties Corp.,0001307748,,,,,,,,,,,,,no announcement 8-K found in lookback
PEO,"ADAMS NATURAL RESOURCES FUND, INC.",0000216851,,,,,,,,,,,,,no announcement 8-K found in lookback
QGEN,QIAGEN N.V.,0001015820,,,,,,,,,,,,,no announcement 8-K found in lookback
HYLN,Tortoise Acquisition Corp.,0001759631,,,,,,,,,,,,,SPAC shell
FSRNQ,Spartan Energy Acquisition Corp.,0001720990,,,,,,,,,,,,,SPAC shell
PLBY,Mountain Crest Acquisition Corp.,0001803914,,,,,,,,,,,,,SPAC shell
SKIN,Vesper Healthcare Acquisition Corp.,0001818093,,,,,,,,,,,,,SPAC shell
ME,VG Acquisition Corp.,0001804591,,,,,,,,,,,,,SPAC shell
AURX,"Nuo Therapeutics, Inc.",0001091596,,,,,,,,,,,,,no announcement 8-K found in lookback
SNTI,Dynamics Special Purpose Corp.,0001854270,,,,,,,,,,,,,no announcement 8-K found in lookback
SFRT,PROPTECH INVESTMENT CORP. II,0001821075,,,,,,,,,,,,,SPAC shell
CALT,Calliditas Therapeutics AB,0001795579,,,,,,,,,,,,,no announcement 8-K found in lookback
LCW,Learn CW Investment Corp,0001847577,,,,,,,,,,,,,no announcement 8-K found in lookback
LU,Lufax Holding Ltd,0001816007,,,,,,,,,,,,,no announcement 8-K found in lookback
PRMW,Primo Water Corp /CN/,0000884713,,,,,,,,,,,,,no announcement 8-K found in lookback
VSTO,Vista Outdoor Inc.,0001616318,,,,,,,,,,,,,no announcement 8-K found in lookback
TTGT,TechTarget Inc,0001293282,,,,,,,,,,,,,no announcement 8-K found in lookback
CMBT,CMB.TECH NV,0001604481,,,,,,,,,,,,,no announcement 8-K found in lookback
GATO,"Gatos Silver, Inc.",0001517006,,,,,,,,,,,,,no announcement 8-K found in lookback
CVI,CVR ENERGY INC,0001376139,,,,,,,,,,,,,no announcement 8-K found in lookback
CDMO,"Avid Bioservices, Inc.",0000704562,,,,,,,,,,,,,no announcement 8-K found in lookback
AGRO,Adecoagro S.A.,0001499505,,,,,,,,,,,,,no announcement 8-K found in lookback
NDOI,"Endo, Inc.",0002008861,,,,,,,,,,,,,no announcement 8-K found in lookback
FL,"FOOT LOCKER, INC.",0000850209,,,,,,,,,,,,,no announcement 8-K found in lookback
TURN,180 DEGREE CAPITAL CORP. /NY/,0000893739,,,,,,,,,,,,,no announcement 8-K found in lookback
ALC,ALCON INC,0001167379,,,,,,,,,,,,,no announcement 8-K found in lookback
FUBO,fuboTV Inc. /FL,0001484769,,,,,,,,,,,,,no announcement 8-K found in lookback
OLO,Olo Inc.,0001431695,,,,,,,,,,,,,no announcement 8-K found in lookback
TASK,"TaskUs, Inc.",0001829864,,,,,,,,,,,,,no announcement 8-K found in lookback
LVTX,LAVA Therapeutics NV,0001840748,,,,,,,,,,,,,no announcement 8-K found in lookback
SONN,"Sonnet BioTherapeutics Holdings, Inc.",0001106838,,,,,,,,,,,,,no announcement 8-K found in lookback
CEP,"Cantor Equity Partners, Inc.",0001865602,,,,,,,,,,,,,no announcement 8-K found in lookback
EA,ELECTRONIC ARTS INC.,0000712515,,,,,,,,,,,,,no announcement 8-K found in lookback
GIFI,GULF ISLAND FABRICATION INC,0001031623,,,,,,,,,,,,,no announcement 8-K found in lookback
GDEN,"GOLDEN ENTERTAINMENT, INC.",0001071255,,,,,,,,,,,,,no announcement 8-K found in lookback
CDE,"Coeur Mining, Inc.",0000215466,,,,,,,,,,,,,no announcement 8-K found in lookback
